assembly_name	sequence_name	sequence_length	GenBank_accession
lancer	chr3B	839470345	LR862536.1
lancer	chr3D	646400022	LR862537.1
lancer	chr4A	747589525	LR862538.1
lancer	chr4B	665179885	LR862539.1
lancer	chr4D	506585010	LR862540.1
lancer	chr5A	703962928	LR862541.1
lancer	chr5B	702438406	LR862542.1
lancer	chr5D	568126671	LR862543.1
lancer	chr6A	610851963	LR862544.1
lancer	chr6B	707596419	LR862545.1
lancer	chr6D	465558328	LR862546.1
lancer	chr7A	734536914	LR862547.1
lancer	chr7B	738743901	LR862548.1
lancer	chr7D	636778132	LR862549.1
landmark	chr1A	595339094	LR877309.1
landmark	chr1B	698605642	LR877310.1
landmark	chr1D	499102108	LR877311.1
landmark	chr2A	791748890	LR877312.1
landmark	chr2B	797311483	LR877313.1
landmark	chr2D	656817438	LR877314.1
landmark	chr3A	753360318	LR877315.1
landmark	chr3B	845838138	LR877316.1
landmark	chr3D	619661694	LR877317.1
landmark	chr4A	752772853	LR877318.1
landmark	chr4B	689709469	LR877319.1
landmark	chr4D	509595892	LR877320.1
landmark	chr5A	712797596	LR877321.1
landmark	chr5B	710493282	LR877322.1
landmark	chr5D	570643040	LR877323.1
landmark	chr6A	619886155	LR877324.1
landmark	chr6B	705533140	LR877325.1
landmark	chr6D	484551304	LR877326.1
landmark	chr7A	740148362	LR877327.1
landmark	chr7B	757233630	LR877328.1
landmark	chr7D	642499559	LR877329.1
mace	chr1A	590561804	LR865458.1
mace	chr1B	685720839	LR865459.1
mace	chr1D	490910922	LR865460.1
mace	chr2A	782694893	LR865461.1
mace	chr2B	796420183	LR865462.1
mace	chr2D	650274702	LR865463.1
mace	chr3A	739889549	LR865464.1
mace	chr3B	848590828	LR865465.1
mace	chr3D	610626473	LR865466.1
mace	chr4A	738023571	LR865467.1
mace	chr4B	667607564	LR865468.1
mace	chr4D	506274898	LR865469.1
mace	chr5A	701434008	LR865470.1
mace	chr5B	690770133	LR865471.1
mace	chr5D	567265955	LR865472.1
mace	chr6A	612987783	LR865473.1
mace	chr6B	704156067	LR865474.1
mace	chr6D	475327881	LR865475.1
mace	chr7A	732118298	LR865476.1
mace	chr7B	733931846	LR865477.1
mace	chr7D	636796232	LR865478.1
norin61	chr1A	594006513	LR878435.1
norin61	chr1B	693261537	LR878436.1
norin61	chr1D	492948387	LR878437.1
norin61	chr2A	781462734	LR878438.1
norin61	chr2B	802944975	LR878439.1
norin61	chr2D	650275864	LR878440.1
norin61	chr3A	756841830	LR878441.1
norin61	chr3B	850623622	LR878442.1
norin61	chr3D	614136911	LR878443.1
norin61	chr4A	723255126	LR878444.1
norin61	chr4B	669876730	LR878445.1
norin61	chr4D	507533340	LR878446.1
norin61	chr5A	712168462	LR878447.1
norin61	chr5B	712339524	LR878448.1
norin61	chr5D	564869106	LR878449.1
norin61	chr6A	619418949	LR878450.1
norin61	chr6B	715454519	LR878451.1
norin61	chr6D	478264344	LR878452.1
norin61	chr7A	734693445	LR878453.1
norin61	chr7B	749685439	LR878454.1
norin61	chr7D	633598967	LR878455.1
stanley	chr1A	591313643	LR865739.1
stanley	chr1B	705330581	LR865740.1
stanley	chr1D	495656580	LR865741.1
stanley	chr2A	803232604	LR865742.1
stanley	chr2B	790745243	LR865743.1
stanley	chr2D	657494025	LR865744.1
stanley	chr3A	759305888	LR865745.1
stanley	chr3B	856542542	LR865746.1
stanley	chr3D	628321883	LR865747.1
stanley	chr4A	754364263	LR865748.1
stanley	chr4B	697113365	LR865749.1
stanley	chr4D	504254270	LR865750.1
stanley	chr5A	715354979	LR865751.1
stanley	chr5B	713929667	LR865752.1
stanley	chr5D	572943128	LR865753.1
stanley	chr6A	626959190	LR865754.1
stanley	chr6B	715714221	LR865755.1
stanley	chr6D	483823121	LR865756.1
stanley	chr7A	742917797	LR865757.1
stanley	chr7B	748536659	LR865758.1
stanley	chr7D	643784981	LR865759.1
sy_mattis	chr1A	600654286	LR865760.1
sy_mattis	chr1B	685083685	LR865761.1
sy_mattis	chr1D	486317123	LR865762.1
sy_mattis	chr2A	794150360	LR865763.1
sy_mattis	chr2B	799857935	LR865764.1
sy_mattis	chr2D	655329108	LR865765.1
sy_mattis	chr3A	749763888	LR865766.1
sy_mattis	chr3B	838116175	LR865767.1
sy_mattis	chr3D	610468321	LR865768.1
sy_mattis	chr4A	736551279	LR865769.1
sy_mattis	chr4B	666328382	LR865770.1
sy_mattis	chr4D	504826275	LR865771.1
sy_mattis	chr5A	702606209	LR865772.1
sy_mattis	chr5B	467876140	LR865773.1
sy_mattis	chr5D	566465558	LR865774.1
sy_mattis	chr6A	614421429	LR865775.1
sy_mattis	chr6B	698878671	LR865776.1
sy_mattis	chr6D	480431564	LR865777.1
sy_mattis	chr7A	735408736	LR865778.1
sy_mattis	chr7B	969998116	LR865779.1
sy_mattis	chr7D	635024734	LR865780.1
chinese	chr1A	594102056	LS992080.1
chinese	chr1B	689851870	LS992081.1
chinese	chr1D	495453186	LS992082.1
chinese	chr2A	780798557	LS992083.1
chinese	chr2B	801256715	LS992084.1
chinese	chr2D	651852609	LS992085.1
chinese	chr3A	750843639	LS992086.1
chinese	chr3B	830829764	LS992087.1
chinese	chr3D	615552423	LS992088.1
chinese	chr4A	744588157	LS992089.1
chinese	chr4B	673617499	LS992090.1
chinese	chr4D	509857067	LS992091.1
chinese	chr5A	709773743	LS992092.1
chinese	chr5B	713149757	LS992093.1
chinese	chr5D	566080677	LS992094.1
chinese	chr6A	618079260	LS992095.1
chinese	chr6B	720988478	LS992096.1
chinese	chr6D	473592718	LS992097.1
chinese	chr7A	736706236	LS992098.1
chinese	chr7B	750620385	LS992099.1
chinese	chr7D	638686055	LS992100.1
